name,likely_gender,likely_percent,total,total_rank,per_million
MICHAEL,M,100,3854377,1,16148
DAVID,M,100,2840947,2,11902
JAMES,M,100,2817903,3,11805
JOHN,M,100,2700217,4,11312
ROBERT,M,100,2556938,5,10712
WILLIAM,M,100,2048316,6,8581
CHRISTOPHER,M,100,1978627,7,8289
JOSEPH,M,100,1652333,8,6922
DANIEL,M,100,1631918,9,6837
MATTHEW,M,100,1525418,10,6390
JENNIFER,F,100,1456406,11,6101
THOMAS,M,100,1434007,12,6007
RICHARD,M,100,1430542,13,5993
MARY,F,100,1342215,14,5623
MARK,M,100,1276142,15,5346
ANTHONY,M,99,1207101,16,5057
STEVEN,M,100,1184511,17,4962
JOSHUA,M,100,1174483,18,4920
KEVIN,M,100,1144676,19,4795
BRIAN,M,100,1135819,20,4758
ANDREW,M,100,1118203,21,4684
CHARLES,M,100,1113680,22,4665
JESSICA,F,100,1040231,23,4358
ELIZABETH,F,100,1034337,24,4333
JASON,M,100,1015309,25,4253
TIMOTHY,M,100,1009280,26,4228
LISA,F,100,963197,27,4035
JEFFREY,M,100,937942,28,3929
RYAN,M,98,920269,29,3855
LINDA,F,100,882947,30,3699
SUSAN,F,100,863846,31,3619
PATRICIA,F,100,855151,32,3582
SARAH,F,100,852492,33,3571
ERIC,M,99,848285,34,3553
ASHLEY,F,98,848149,35,3553
JACOB,M,100,841318,36,3524
PAUL,M,100,839614,37,3517
KIMBERLY,F,99,831022,38,3481
NICHOLAS,M,100,828855,39,3472
JONATHAN,M,100,803860,40,3367
MICHELLE,F,100,801620,41,3358
KAREN,F,100,800559,42,3354
KENNETH,M,100,797766,43,3342
AMANDA,F,100,762374,44,3194
JUSTIN,M,100,761733,45,3191
SCOTT,M,100,753204,46,3155
MELISSA,F,100,746241,47,3126
BRANDON,M,99,744480,48,3119
EMILY,F,100,733897,49,3074
STEPHANIE,F,100,719112,50,3012
STEPHEN,M,100,695189,51,2912
DEBORAH,F,100,691699,52,2897
AMY,F,100,659847,53,2764
GREGORY,M,100,656106,54,2748
REBECCA,F,100,653676,55,2738
GARY,M,100,637177,56,2669
CYNTHIA,F,100,633634,57,2654
RONALD,M,100,628563,58,2633
ANGELA,F,100,628367,59,2632
DONALD,M,100,624348,60,2615
LAURA,F,100,622140,61,2606
BENJAMIN,M,100,610647,62,2558
TYLER,M,97,585212,63,2451
BARBARA,F,100,583321,64,2443
NICOLE,F,100,581255,65,2435
ALEXANDER,M,99,577859,66,2421
PATRICK,M,100,576350,67,2414
EDWARD,M,100,568327,68,2381
SANDRA,F,100,561237,69,2351
SAMANTHA,F,100,555824,70,2328
DONNA,F,100,555354,71,2326
DEBRA,F,100,545274,72,2284
KELLY,F,86,542761,73,2273
SAMUEL,M,100,541949,74,2270
AARON,M,99,533499,75,2235
NANCY,F,100,531082,76,2225
HEATHER,F,100,522882,77,2190
ADAM,M,100,519451,78,2176
PAMELA,F,100,519072,79,2174
ZACHARY,M,100,519038,80,2174
RACHEL,F,100,499178,81,2091
JOSE,M,99,495926,82,2077
NATHAN,M,100,492049,83,2061
BRENDA,F,100,490124,84,2053
GEORGE,M,99,483046,85,2023
JULIE,F,100,479691,86,2009
KYLE,M,98,476349,87,1995
JORDAN,M,73,476326,88,1995
LARRY,M,99,474361,89,1987
SHARON,F,100,468923,90,1964
CHRISTINE,F,100,467804,91,1959
KATHLEEN,F,100,467702,92,1959
LAUREN,F,99,460510,93,1929
CHRISTINA,F,100,453721,94,1900
KATHERINE,F,100,453474,95,1899
MARIA,F,99,438883,96,1838
MEGAN,F,100,435089,97,1822
JEREMY,M,99,429069,98,1797
DOUGLAS,M,100,424535,99,1778
DENNIS,M,100,413768,100,1733
SEAN,M,99,413562,101,1732
TAYLOR,F,75,411915,102,1725
TERRY,M,81,410314,103,1719
VICTORIA,F,100,409423,104,1715
ANDREA,F,99,407656,105,1707
CHRISTIAN,M,95,404858,106,1696
PETER,M,100,393275,107,1647
HANNAH,F,100,389651,108,1632
ALEXIS,F,85,386601,109,1619
AUSTIN,M,99,380910,110,1595
KEITH,M,100,379924,111,1591
CAROL,F,99,377668,112,1582
ANNA,F,100,375691,113,1574
EMMA,F,100,375191,114,1571
ETHAN,M,100,371326,115,1555
DIANE,F,100,370454,116,1552
TERESA,F,100,367425,117,1539
BRYAN,M,100,367286,118,1538
CHERYL,F,100,367230,119,1538
AMBER,F,100,366497,120,1535
DANIELLE,F,99,364117,121,1525
DENISE,F,100,359938,122,1508
MARGARET,F,100,358700,123,1502
BRITTANY,F,100,357551,124,1498
OLIVIA,F,100,354019,125,1483
CATHERINE,F,100,352424,126,1476
MADISON,F,99,351458,127,1472
JAMIE,F,76,344290,128,1442
RAYMOND,M,100,342511,129,1434
SHANNON,F,85,342503,130,1434
DYLAN,M,97,341057,131,1428
LORI,F,100,340294,132,1425
JERRY,M,99,339765,133,1423
TIFFANY,F,100,335468,134,1405
SARA,F,100,333503,135,1397
TAMMY,F,100,332425,136,1392
SHAWN,M,90,331251,137,1387
KAYLA,F,100,329484,138,1380
FRANK,M,100,324892,139,1361
CRYSTAL,F,100,323950,140,1357
JESSE,M,97,321138,141,1345
JACQUELINE,F,100,320795,142,1344
