"The Lilly Faculty Registry reports direct and indirect payments by Lilly, as well as Lilly’s portion of alliance partnership payments, to health care professionals serving as faculty members. When the ""Entity Paid"" is a company, hospital or university, and there is a different name listed as the service provider, it reflects an indirect payment which may or may not actually have been received in whole or in part by the listed service provider. Note: This report is designed to comply with Lilly’s Corporate Integrity Agreement reporting obligations. Due to differences in scope and definitions, the data reported in this report may differ from data included in reports submitted by Lilly for compliance with state payment reporting laws.","","","","","","","",""
Entity Paid,"","",Provider of Service,Payments*(All Amounts  in US Dollars)* Payments for reimbursed expenses are not compensation.,"","","",""
Name,Location,State,Name,Patient Education Programs,Healthcare Professional Education Programs,Advising/Consulting & International Education Programs,Certain Travel-Related Expenses,2010 Total
"4 WELLNESS R.D., INC.","ROCKFORD, TN",TN,"SCHENK, NANCY","6,563","","",643,"7,205"
"A & R EDUCATIONAL GROUP, LLC","BIRMINGHAM, AL",AL,"MCLAIN, DAVID A","","4,725","",49,"4,774"
"A O ENTERPRISES, INC","JACKSON, TN",TN,"ODHAV, SATISH K","","17,050","","1 ,091","18,141"
A. DAVTIAN MEDICAL SERVICES INC.,"GLENDALE, CA",CA,"DAVTIAN, ARAKEL","","15,550","","","15,550"
"A. W. KEDIA MD, INC.","SOLON, OH",OH,"KEDIA, ANURAG W","",575,"","",575
A.E.C. CONSULTING,"OKLAHOMA CITY, OK",OK,"CRANMER, KERRY W","","42,375","",178,"42,553"
"A1 CERTIFIED DIABETES EDUCATORS, LLC","GILBERT, AZ",AZ,"WARD, JANET","5,731","","",425,"6,156"
AAVALON,"LITTLE ROCK, AR",AR,"PROVIDERS OF SERVICE: SMITH, LESLIE G; TILLEMANS, TAD C","","112,463","3,000","7 ,401","1 22,864"
"ABADIER, RAFIK","THE VILLAGES, FL",FL,"ABADIER, RAFIK","","3,384","","","3,384"
"ABBAS MOTAZEDI, M.D.","GREAT FALLS, VA",VA,"MOTAZEDI, ABBAS","","12,588","",240,"12,828"
"ABBAS SHEHADEH, MD","WEST ORANGE, NJ",NJ,"SHEHADEH, ABBAS A","","6 ,684","","","6,684"
"ABBAS, FOUAD M","BALTIMORE, MD",MD,"ABBAS, FOUAD M","","9,250","",226,"9,476"
"ABDALLAH, RITA","FAIRVIEW PARK, OH",OH,"ABDALLAH, RITA","","21,825",500,"10,632","32,957"
"ABDULMALEK SABBAGH, MD, FACC, INC.","WESTON, WV",WV,"SABBAGH, ABDULMACK","","7,584","",98,"7,682"
"ABEDMAHMOUD, ISSA","HERRIN, IL",IL,"ABEDMAHMOUD, ISSA","","2,531","","","2,531"
"ABEL A. GONZALEZ, MD, PC","BETHLEHEM, PA",PA,"GONZALEZ, ABEL A","","26,800","",127,"26,927"
"ABEL, REBECCA J","LAFAYETTE, LA",LA,"ABEL, REBECCA J","2,306","","",97,"2,403"
"ABELSETH, JILL M","ALBANY, NY",NY,"ABELSETH, JILL M","","12,636","2,000","1 ,359","15,996"
"ABINADER, AZAREL","MIAMI, FL",FL,"ABINADER, AZAREL","",75,"","",75
"ABOUESH, AHMED I","CHICO, CA",CA,"ABOUESH, AHMED I","","6,300","",220,"6,520"
"ABOYOUSSEF, MOHAMED M","HONOLULU, HI",HI,"ABOYOUSSEF, MOHAMED M","","13,275","",148,"13,423"
"ABRAHAM, JACOB","BALTIMORE, MD",MD,"ABRAHAM, JACOB","","",625,"",625
"ABRAMOVA, INNA","BROOKLYN, NY",NY,"ABRAMOVA, INNA","",56,"","",56
